Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (Enlace);CTR (Enlace);ROAS;Tasa de resultados;Clics (todos);CPC (Anuncio);CTR (Anuncio);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado
35-44;unknown;240;318;1.325;;;3.31;1.040.880.503;4;0.8275;1.257.861.635;;;9;0.36777778;283.018.868;;;132;1;;;
55-64;unknown;96;130;1.354.166.667;;;3.29;2.530.769.231;2;1.645;1.538.461.538;;;2;1.645;153.846.154;;;54;;;;
45-54;unknown;112;206;1.839.285.714;1;3.22;3.22;1.563.106.796;7;0.46;3.398.058.252;9.29;0.485436893;12;0.26833333;582.524.272;1;2;103;;29.92;4;0.805
45-54;male;272;272;1;;;3.21;1.180.147.059;3;1.07;1.102.941.176;;;4;0.8025;147.058.824;;;149;;;;
35-44;unknown;184;285;1.548.913.043;;;3.17;1.112.280.702;3;105.666.667;1.052.631.579;;;9;0.35222222;315.789.474;;1;104;1;;;
18-24;male;320;503;1.571.875;2;1.57;3.14;624.249.726;12;0.26166468;2.385.685.885;19.06;0.397614314;21;0.14952267;41.749.503;1;2;201;;59.84;2;156.998.806
35-44;female;297;300;101.010.101;;;3.06;10.2;4;0.765;1.333.333.333;;;5;0.612;166.666.667;;3;116;1;;1;3.06
55-64;male;136;144;1.058.823.529;;;3.04;2.111.111.111;2;1.52;1.388.888.889;;;4;0.76;277.777.778;;1;72;;;;
65+;unknown;96;137;1.427.083.333;;;3.03;22.117.029;5;0.60600659;3.649.635.036;;;7;0.43286185;510.948.905;;1;57;;;;
45-54;male;293;293;1;;;3.03;1.034.129.693;1;3.03;0.341296928;;;5;0.606;170.648.464;;5;150;1;;;
55-64;male;210;210;1;;;3.02;1.438.095.238;3;100.666.667;1.428.571.429;;;4;0.755;19.047.619;;;86;1;;;
45-54;male;285;285;1;;;2.98;1.045.614.035;1;2.98;0.350877193;;;2;1.49;0.70175439;;1;150;1;;;
18-24;male;192;213;1.109.375;;;2.93;1.375.586.854;2;1.465;0.938967136;;;2;1.465;0.93896714;;;72;;;;
55-64;male;96;144;1.5;;;2.92;2.027.777.778;5;0.584;3.472.222.222;;;9;0.32444444;6.25;;;75;2;;;
65+;female;114;120;1.052.631.579;;;2.87;239.184.683;1;28.702.162;0.833333333;;;4;0.71755405;333.333.333;;;49;;;;
25-34;unknown;192;262;1.364.583.333;;;2.87;1.095.419.847;1;2.87;0.381679389;;;4;0.7175;152.671.756;;;96;;;;
25-34;female;291;291;1;;;2.81;965.635.739;2;1.405;0.687285223;;;4;0.7025;137.457.045;;1;125;1;;;
45-54;male;152;156;1.026.315.789;;;2.80;1.794.871.795;2;1.4;1.282.051.282;;;6;0.46666667;384.615.385;;1;79;;;;
45-54;male;280;284;1.014.285.714;;;2.73;961.267.606;3;0.91;1.056.338.028;;;4;0.6825;14.084.507;;;160;;;;
55-64;male;132;132;1;;;2.71;205.308.351;4;0.67751756;303.030.303;;;4;0.67751756;303.030.303;;1;66;;;;
25-34;male;296;321;1.084.459.459;;;2.70;841.121.495;3;0.9;0.934579439;;;4;0.675;124.610.592;1;2;150;1;;;
35-44;male;275;275;1;;;2.68;974.618.867;4;0.67005047;1.454.545.455;;;8;0.33502524;290.909.091;;2;138;2;;;
35-44;male;192;297;1.546.875;;;2.67;898.989.899;1;2.67;0.336700337;;;3;0.89;101.010.101;;2;111;;;;
65+;unknown;88;92;1.045.454.545;;;2.65;2.880.394.048;2;132.498.126;2.173.913.043;;;3;0.88332084;326.086.957;;1;51;1;;1;264.996.252
55-64;male;136;174;1.279.411.765;;;2.60;1.494.252.874;1;2.6;0.574712644;;;2;1.3;114.942.529;;;90;1;;;
25-34;male;278;278;1;;;2.57;924.530.071;3;0.8567312;1.079.136.691;;;7;0.36717051;251.798.561;;2;127;1;;;
25-34;unknown;160;221;138.125;2;1.26;2.52;1.140.271.493;9;0.28;407.239.819;25.73;0.904977376;13;0.19384615;588.235.294;;1;89;1;64.84;3;0.84
55-64;unknown;32;77;240.625;1;2.50;2.50;3.246.753.247;2;1.25;2.597.402.597;11.97;1.298.701.299;5;0.5;649.350.649;;;38;;29.92;2;1.25
45-54;male;188;218;1.159.574.468;;;2.50;1.146.788.991;3;0.83333333;1.376.146.789;;;4;0.625;183.486.239;;;122;;;;
45-54;female;149;149;1;;;2.49;167.114.094;1;2.49;0.67114094;;;2;1.245;134.228.188;;3;67;;;;
18-24;male;184;248;1.347.826.087;;;2.41;971.774.194;3;0.80333333;1.209.677.419;;;4;0.6025;161.290.323;1;1;124;2;;;
25-34;unknown;288;309;1.072.916.667;;;2.39;7.734.712;2;1.195.013;0.647249191;;;13;0.18384815;420.711.974;;1;123;;;;
45-54;male;208;213;1.024.038.462;;;2.34;1.098.591.549;3;0.78;1.408.450.704;;;5;0.468;234.741.784;;;127;1;;;
65+;male;155;155;1;;;2.33;1.503.154.051;;;;;;0;;0;;;89;;;;
18-24;male;144;268;1.861.111.111;;;2.32;865.671.642;4;0.58;1.492.537.313;;;9;0.25777778;335.820.896;;2;125;3;;;
35-44;unknown;112;139;1.241.071.429;;;2.31;1.661.870.504;;;;;;1;2.31;0.71942446;;;48;;;;
18-24;male;160;236;1.475;1;2.29;2.29;970.338.983;5;0.458;2.118.644.068;15.25;0.423728814;6;0.38166667;254.237.288;;1;126;1;34.92;2;1.145
18-24;male;184;242;1.315.217.391;;;2.27;938.016.529;4;0.5675;1.652.892.562;;;5;0.454;20.661.157;;1;131;1;;;
18-24;male;256;292;1.140.625;;;2.24;767.123.288;1;2.24;0.342465753;;;3;0.74666667;102.739.726;;1;108;;;;
55-64;male;152;152;1;;;2.23;1.467.105.263;1;2.23;0.657894737;;;2;1.115;131.578.947;;;93;;;;
18-24;male;364;376;1.032.967.033;;;2.23;593.085.106;3;0.74333333;0.79787234;;;4;0.5575;106.382.979;;2;178;1;;;
35-44;female;117;117;1;;;2.23;1.905.982.906;1;2.23;0.854700855;;;1;2.23;0.85470085;;1;41;;;;
45-54;unknown;96;150;15.625;;;2.16;14.4;;;;;;4;0.54;266.666.667;;1;68;2;;;
18-24;male;160;231;144.375;;;2.15;930.735.931;3;0.71666667;1.298.701.299;;;4;0.5375;173.160.173;;1;92;1;;;
45-54;male;128;154;1.203.125;;;2.13;1.383.116.883;3;0.71;1.948.051.948;;;3;0.71;194.805.195;;;95;;;;
45-54;unknown;144;157;1.090.277.778;;;2.12;1.350.318.471;2;1.06;127.388.535;;;6;0.35333333;382.165.605;;1;62;;;;
55-64;male;75;75;1;;;2.12;2.826.666.667;2;1.06;2.666.666.667;;;2;1.06;266.666.667;;;37;;;1;2.12
55-64;male;112;130;1.160.714.286;;;2.07;1.592.307.692;;;;;;3;0.69;230.769.231;;;82;1;;;
35-44;female;112;113;1.008.928.571;1;2.02;2.02;1.787.610.619;4;0.505;3.539.823.009;17.29;0.884955752;5;0.404;442.477.876;;1;47;;34.92;3;0.67333333
55-64;male;136;144;1.058.823.529;;;1.99;1.381.944.444;4;0.4975;2.777.777.778;;;7;0.28428571;486.111.111;;;78;1;;;
55-64;male;85;85;1;;;1.98;2.329.512.531;3;0.66002855;3.529.411.765;;;5;0.39601713;588.235.294;;;44;;;;
65+;unknown;96;106;1.104.166.667;;;1.96;1.849.042.542;1;195.998.509;0.943396226;;;5;0.39199702;471.698.113;;;51;;;;
55-64;unknown;40;43;1.075;;;1.95;4.534.883.721;2;0.975;4.651.162.791;;;3;0.65;697.674.419;;1;23;;;1;1.95
25-34;male;192;248;1.291.666.667;;;1.94;782.258.065;8;0.2425;3.225.806.452;;;13;0.14923077;524.193.548;;1;108;;;;
25-34;female;213;213;1;;;1.92;901.408.451;1;1.92;0.469483568;;;2;0.96;0.93896714;;1;76;2;;1;1.92
25-34;unknown;160;191;119.375;;;1.88;984.293.194;8;0.235;4.188.481.675;;;13;0.14461538;680.628.272;;1;78;1;;;
65+;male;80;111;13.875;;;1.88;1.693.693.694;2;0.94;1.801.801.802;;;3;0.62666667;27.027.027;;;53;2;;;
65+;male;63;63;1;;;1.88;2.984.126.984;4;0.47;6.349.206.349;;;5;0.376;793.650.794;;;33;1;;1;1.88
55-64;male;92;106;1.152.173.913;;;1.87;1.764.150.943;1;1.87;0.943396226;;;2;0.935;188.679.245;;;73;;;;
