MONEDA; MONTODEUDASOL ;EQUIPO;Fecha Desembolso;Dias desde Desembolso;TEA DESEMBOLSO PROMEDIO (%);TEA OFERTA;NIVEL DE PRIORIDAD;
SOLES;489507;Bex Digital 20;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;276178;Bex Digital 4 ;1/4/2015;2181;8,62%;7,62%;Prioridad 4;
SOLES;303667;Bex Digital 4 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;315577;Bex Digital 11;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;244881;Bex Digital 7 ;1/7/2019;629;7,01%;6,01%;Prioridad 4;
SOLES;402252;Bex Digital 11;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;357674;Bex Digital 19;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;256188;Bex Digital 3 ;1/11/2015;1967;8,63%;7,63%;Prioridad 2;
SOLES;213024;Bex Digital 6 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;234976;Bex Digital 7 ;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;404733;Bex Digital 7 ;1/7/2018;994;7,15%;6,15%;Prioridad 2;
SOLES;311948;Bex Digital 6 ;1/5/2018;1055;7,43%;6,43%;Prioridad 3;
SOLES;323353;Bex Digital 20;1/7/2019;629;7,01%;6,01%;Prioridad 4;
SOLES;200596;Bex Digital 14;1/3/2018;1116;7,30%;6,30%;Prioridad 4;
SOLES;306011;Bex Digital 9 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;307655;Bex Digital 11;1/5/2018;1055;7,43%;6,43%;Prioridad 3;
SOLES;312776;Bex Digital 3 ;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;277071;Bex Digital 11;1/6/2018;1024;7,14%;6,14%;Prioridad 2;
SOLES;201641;Bex Digital 12;1/5/2017;1420;8,57%;7,57%;Prioridad 4;
