Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (costo por clic en el enlace);CTR (porcentaje de clics en el enlace);ROAS;Tasa de resultados;Clics (todos);CPC (todos);CTR (todos);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado;;;;;;;;
55-64;male;32;32;1.00;;;0.99;30.9375;2;0.495;6.250;;;3;0.330;9.38;;;13;;;;;;;;;;;;
55-64;male;91;91;1.00;;;0.98;10.76923077;2;0.490;2.198;;;3;0.327;3.30;;;56;;;1;0.98;;;;;;;;
55-64;male;64;81;1.27;;;0.98;12.09876543;2;0.490;2.469;;;2;0.490;2.47;;;63;;;;;;;;;;;;
45-54;male;60;61;1.02;;;0.98;16.06557377;;;;;;1;0.980;1.64;;1;28;;;;;;;;;;;;
65+;male;65;65;1.00;;;0.96;14.76923077;3;0.320;4.615;;;5;0.192;7.69;;1;45;;;;;;;;;;;;
45-54;unknown;48;48;1.00;;;0.96;20;1;0.960;2.083;;;2;0.480;4.17;;;25;;;;;;;;;;;;
18-24;unknown;32;97;3.03;;;0.94;9.69072165;1;0.940;1.031;;;3;0.313;3.09;;;41;1;;;;;;;;;;;
65+;male;88;88;1.00;;;0.93;10.56818182;;;;;;0;;0.00;;1;62;;;;;;;;;;;;
25-34;female;122;122;1.00;;;0.93;7.62295082;1;0.930;0.820;;;2;0.465;1.64;;;45;1;;;;;;;;;;;
35-44;unknown;90;90;1.00;;;0.91;10.11111111;3;0.303;3.333;;;3;0.303;3.33;;;44;1;;;;;;;;;;;
18-24;unknown;64;85;1.33;;;0.89;10.47070218;1;0.890;1.176;;;4;0.223;4.71;;1;28;;;;;;;;;;;;
65+;male;52;53;1.02;;;0.89;16.79245283;1;0.890;1.887;;;0;;0.00;;;31;;;;;;;;;;;;
18-24;female;166;167;1.01;;;0.88;5.26946108;2;0.440;1.198;;;4;0.220;2.40;;;56;;;;;;;;;;;;
35-44;unknown;44;44;1.00;;;0.87;19.77272727;2;0.435;4.545;;;3;0.290;6.82;;;20;;;;;;;;;;;;
45-54;female;9;9;1.00;;;0.87;96.66666667;1;0.870;11.111;;;1;0.870;11.11;;;3;;;;;;;;;;;;
55-64;male;42;42;1.00;;;0.85;20.23961977;;;;;;0;;0.00;;;24;;;;;;;;;;;;
