Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (costo por clic en el enlace);CTR (porcentaje de clics en el enlace);ROAS;Tasa de resultados;Clics (todos);CPC (todos);CTR (todos);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado;;;;;;;;
45-54;female;17;17;1.00;;;0.19;11.17647059;;;;;;0;;0.00;;;7;;;;;;;;;;;;
25-34;male;12;12;1.00;;;0.18;15;;;;;;0;;0.00;;;5;;;;;;;;;;;;
65+;unknown;4;8;2.00;;;0.18;22.5;;;;;;0;;0.00;;;2;;;;;;;;;;;;
18-24;female;29;29;1.00;;;0.17;5.86206897;;;;;;1;0.170;3.45;;;9;;;;;;;;;;;;
65+;unknown;12;12;1.00;;;0.17;14.16666667;;;;;;0;;0.00;;;7;;;;;;;;;;;;
25-34;male;6;6;1.00;;;0.17;28.33333333;;;;;;0;;0.00;;;3;;;;;;;;;;;;
65+;unknown;17;17;1.00;;;0.16;9.41176471;;;;;;0;;0.00;;;8;;;;;;;;;;;;
18-24;unknown;0;18;0.00;;;0.16;8.88888889;;;;;;0;;0.00;;;7;;;;;;;;;;;;
55-64;unknown;7;7;1.00;;;0.16;22.85714286;;;;;;0;;0.00;;;4;;;;;;;;;;;;
65+;male;10;14;1.40;;;0.16;11.42857143;;;;;;0;;0.00;;;4;;;;;;;;;;;;
18-24;unknown;16;24;1.50;;;0.16;6.66666667;;;;;;0;;0.00;;;10;;;;;;;;;;;;
18-24;unknown;14;14;1.00;;;0.16;11.42857143;;;;;;0;;0.00;;;4;;;;;;;;;;;;
45-54;unknown;8;11;1.38;;;0.15;13.63636364;1;0.150;9.091;;;1;0.150;9.09;;;6;;;;;;;;;;;;
45-54;female;12;12;1.00;;;0.15;12.5;2;0.075;16.667;;;2;0.075;16.67;;;9;;;;;;;;;;;;
18-24;unknown;14;14;1.00;;;0.15;10.71428571;;;;;;0;;0.00;;;4;;;;;;;;;;;;
18-24;female;40;41;1.03;;;0.15;3.65853659;;;;;;0;;0.00;;1;11;;;;;;;;;;;;
65+;unknown;0;7;0.00;;;0.15;21.42857143;;;;;;0;;0.00;;;4;;;;;;;;;;;;
18-24;unknown;8;15;1.88;;;0.14;9.33333333;;;;;;0;;0.00;;;4;;;;;;;;;;;;
65+;unknown;8;8;1.00;;;0.14;17.5;;;;;;0;;0.00;;;4;;;;;;;;;;;;
18-24;unknown;0;14;0.00;;;0.14;10;;;;;;0;;0.00;;;6;;;;;;;;;;;;
55-64;unknown;7;7;1.00;;;0.14;20;;;;;;0;;0.00;;;6;;;;;;;;;;;;
55-64;unknown;4;6;1.50;;;0.13;21.66666667;;;;;;0;;0.00;;;5;;;;;;;;;;;;
25-34;female;14;14;1.00;;;0.13;9.28571429;;;;;;0;;0.00;;;5;;;;;;;;;;;;
65+;unknown;0;5;0.00;;;0.13;26;;;;;;0;;0.00;;;1;;;;;;;;;;;;
55-64;unknown;8;10;1.25;;;0.12;12;;;;;;0;;0.00;;;7;;;;;;;;;;;;
18-24;unknown;6;6;1.00;;;0.12;20;;;;;;0;;0.00;;;3;;;;;;;;;;;;
65+;female;2;2;1.00;;;0.12;60;;;;;;4;0.030;200.00;1;1;4;;;;;;;;;;;;
18-24;unknown;8;8;1.00;;;0.11;13.75103578;;;;;;1;0.110;12.50;;;5;;;;;;;;;;;;
18-24;unknown;16;16;1.00;;;0.11;6.8752974;;;;;;0;;0.00;;;5;;;;;;;;;;;;
65+;unknown;0;5;0.00;;;0.11;22;;;;;;0;;0.00;;;5;;;;;;;;;;;;
55-64;unknown;4;4;1.00;;;0.10;25.00188324;;;;;;0;;0.00;;;1;;;;;;;;;;;;
35-44;male;12;12;1.00;;;0.10;8.33333333;;;;;;0;;0.00;;;7;;;;;;;;;;;;
55-64;female;2;2;1.00;;;0.10;50;;;;;;0;;0.00;;;2;;;;;;;;;;;;
65+;unknown;6;6;1.00;;;0.09;15.00038874;;;;;;0;;0.00;;;3;;;;;;;;;;;;
25-34;male;4;4;1.00;;;0.09;22.5;;;;;;0;;0.00;;;2;;;;;;;;;;;;
35-44;unknown;7;7;1.00;;;0.08;11.42857143;;;;;;0;;0.00;;;1;;;;;;;;;;;;
18-24;female;21;21;1.00;;;0.08;3.80952381;;;;;;0;;0.00;;;7;;;;;;;;;;;;
55-64;unknown;0;9;0.00;;;0.08;8.88888889;;;;;;0;;0.00;;;8;;;;;;;;;;;;
18-24;unknown;8;9;1.13;;;0.07;7.77777778;;;;;;0;;0.00;;;5;;;;;;;;;;;;
18-24;unknown;16;22;1.38;;;0.07;3.18181818;;;;;;0;;0.00;;;2;;;;;;;;;;;;
65+;unknown;8;13;1.63;;;0.07;5.38461538;;;;;;0;;0.00;;;5;;;;;;;;;;;;
35-44;female;3;3;1.00;;;0.07;23.33333333;;;;;;0;;0.00;;;2;;;;;;;;;;;;
25-34;male;15;15;1.00;;;0.07;4.66666667;;;;;;0;;0.00;;;8;;;;;;;;;;;;
55-64;unknown;2;2;1.00;;;0.07;35;;;;;;0;;0.00;;;;;;;;;;;;;;;
18-24;unknown;5;5;1.00;;;0.06;12;;;;;;0;;0.00;;;1;;;;;;;;;;;;
18-24;unknown;0;8;0.00;;;0.06;7.5;;;;;;0;;0.00;;;2;;;;;;;;;;;;
35-44;male;5;5;1.00;;;0.06;12;;;;;;0;;0.00;;1;3;;;;;;;;;;;;
65+;unknown;0;8;0.00;;;0.05;6.25;;;;;;0;;0.00;;;3;;;;;;;;;;;;
65+;female;9;9;1.00;;;0.05;5.55555556;;;;;;0;;0.00;1;;7;;;;;;;;;;;;
25-34;male;8;8;1.00;;;0.05;6.25;;;;;;0;;0.00;;1;5;1;;;;;;;;;;;
45-54;unknown;4;4;1.00;;;0.05;12.5;;;;;;0;;0.00;;;2;;;;;;;;;;;;
65+;unknown;4;5;1.25;;;0.04;8.00060264;;;;;;0;;0.00;;;3;1;;;;;;;;;;;
65+;unknown;4;4;1.00;;;0.04;10.00043258;;;;;;0;;0.00;;;3;;;;;;;;;;;;
55-64;female;4;4;1.00;;;0.04;10;;;;;;0;;0.00;;;1;;;;;;;;;;;;
55-64;female;2;2;1.00;;;0.04;20;;;;;;0;;0.00;;;1;;;;;;;;;;;;
55-64;female;2;2;1.00;;;0.04;20;;;;;;0;;0.00;;;1;;;;;;;;;;;;
65+;unknown;3;3;1.00;;;0.04;13.33333333;;;;;;0;;0.00;;;1;;;;;;;;;;;;
65+;unknown;3;3;1.00;;;0.04;13.33333333;;;;;;0;;0.00;;;2;;;;;;;;;;;;
35-44;male;8;8;1.00;;;0.04;5;1;0.040;12.500;;;1;0.040;12.50;;;6;;;;;;;;;;;;
45-54;male;4;4;1.00;;;0.04;10;;;;;;0;;0.00;;;3;;;;;;;;;;;;
18-24;male;3;3;1.00;;;0.03;10;;;;;;0;;0.00;;;3;;;;;;;;;;;;
55-64;female;3;3;1.00;;;0.03;10;;;;;;0;;0.00;;;1;;;;;;;;;;;;
18-24;unknown;0;7;0.00;;;0.03;4.28571429;;;;;;0;;0.00;;;1;;;;;;;;;;;;
65+;unknown;0;5;0.00;;;0.03;6;;;;;;0;;0.00;;;4;;;;;;;;;;;;
65+;unknown;0;5;0.00;;;0.03;6;;;;;;0;;0.00;;;2;;;;;;;;;;;;
18-24;male;5;5;1.00;;;0.03;6;;;;;;0;;0.00;;;1;;;;;;;;;;;;
45-54;female;8;8;1.00;;;0.03;3.75;;;;;;0;;0.00;;;2;;;;;;;;;;;;
25-34;male;3;3;1.00;;;0.03;10;;;;;;0;;0.00;;;;;;;;;;;;;;;
55-64;unknown;1;1;1.00;;;0.03;30;;;;;;0;;0.00;;;1;;;;;;;;;;;;
35-44;male;2;2;1.00;;;0.03;15;;;;;;0;;0.00;;;;;;;;;;;;;;;
55-64;male;3;3;1.00;;;0.02;6.66666667;;;;;;0;;0.00;;;;;;;;;;;;;;;
35-44;male;2;2;1.00;;;0.02;10;;;;;;0;;0.00;;;1;;;;;;;;;;;;
18-24;male;6;6;1.00;;;0.02;3.33333333;;;;;;0;;0.00;;;4;;;;;;;;;;;;
25-34;male;5;5;1.00;;;0.02;4;;;;;;0;;0.00;;;2;;;;;;;;;;;;
25-34;unknown;2;2;1.00;;;0.02;10;;;;;;0;;0.00;;;;;;;;;;;;;;;
25-34;male;2;2;1.00;;;0.02;10;;;;;;0;;0.00;;;1;;;;;;;;;;;;
55-64;female;2;2;1.00;;;0.02;10;;;;;;0;;0.00;;;1;;;;;;;;;;;;
18-24;male;2;2;1.00;;;0.02;10;;;;;;0;;0.00;;;1;;;;;;;;;;;;
45-54;male;2;2;1.00;;;0.02;10;;;;;;0;;0.00;;;1;;;;;;;;;;;;
35-44;male;3;3;1.00;;;0.02;6.66666667;;;;;;0;;0.00;;;1;;;;;;;;;;;;
65+;female;5;5;1.00;;;0.02;4;;;;;;0;;0.00;;;;;;;;;;;;;;;
45-54;male;3;4;1.33;;;0.02;5;;;;;;0;;0.00;;;;;;;;;;;;;;;
35-44;unknown;3;3;1.00;;;0.02;6.66666667;;;;;;0;;0.00;;;;;;;;;;;;;;;
25-34;male;5;5;1.00;;;0.01;2;;;;;;0;;0.00;;;3;;;;;;;;;;;;
18-24;male;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;;;;;;;;;;;;;
18-24;male;4;4;1.00;;;0.01;2.5;;;;;;0;;0.00;;;1;;;;;;;;;;;;
45-54;male;2;2;1.00;;;0.01;5;;;;;;0;;0.00;;;1;;;;;;;;;;;;
65+;male;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;1;;;;;;;;;;;;
35-44;male;4;4;1.00;;;0.01;2.5;;;;;;0;;0.00;;;;;;;;;;;;;;;
55-64;male;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;;;;;;;;;;;;;
45-54;male;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;;;;;;;;;;;;;
18-24;male;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;;;;;;;;;;;;;
35-44;unknown;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;;;;;;;;;;;;;
65+;female;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;1;;;;;;;;;;;;
25-34;unknown;3;3;1.00;;;0.01;3.33333333;;;;;;0;;0.00;;;2;;;;;;;;;;;;
35-44;male;2;2;1.00;;;0.01;5;;;;;;0;;0.00;;;;;;;;;;;;;;;
18-24;unknown;5;5;1.00;;;0.01;2;;;;;;0;;0.00;;;1;;;;;;;;;;;;
45-54;male;4;4;1.00;;;0.01;2.5;;;;;;0;;0.00;;;1;;;;;;;;;;;;
65+;male;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;;;;;;;;;;;;;
25-34;unknown;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;1;;;;;;;;;;;;
55-64;unknown;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;;;;;;;;;;;;;
35-44;unknown;1;1;1.00;;;0.01;10;;;;;;0;;0.00;;;;;;;;;;;;;;;
13-17;unknown;0;1;0.00;;;0.01;9.99992395;;;;;;0;;0.00;;;;;;;;;;;;;;;
18-24;unknown;1;2;2.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
45-54;male;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
25-34;male;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;1;;;;;;;;;;;;
18-24;male;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;1;;;;;;;;;;;;
55-64;male;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
25-34;unknown;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
25-34;unknown;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
18-24;unknown;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
18-24;male;2;2;1.00;;;0.00;0;1;0.000;50.000;;;1;0.000;50.00;;;2;;;;;;;;;;;;
25-34;male;3;3;1.00;;;0.00;0;;;;;;0;;0.00;;;1;;;;;;;;;;;;
35-44;unknown;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;1;;;;;;;;;;;;
65+;female;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
25-34;unknown;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
35-44;unknown;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
18-24;unknown;2;2;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
65+;female;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;1;;;;;;;;;;;;
45-54;male;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;1;;;;;;;;;;;;
55-64;male;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;1;;;;;;;;;;;;
18-24;unknown;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
18-24;male;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;1;;;;;;;;;;;;
35-44;unknown;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
65+;male;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;1;;;;;;;;;;;;
25-34;unknown;2;2;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
18-24;unknown;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
45-54;unknown;1;1;1.00;;;0.00;0;;;;;;0;;0.00;;;;;;;;;;;;;;;
